,1385_at,31622_f_at,32821_at,33919_at,34407_at,35766_at,36130_f_at,37157_at,39081_at,39594_f_at,39640_at,40087_at,40103_at,40445_at,40567_at,40767_at,40848_g_at,41165_g_at,41176_at,41209_at,41423_at,41454_at,41745_at,41771_g_at,41792_at,41827_f_at,575_s_at,677_s_at,700_s_at,870_f_at,927_s_at,973_at,988_at,632_at,179_at,41296_s_at,41416_at,39916_r_at,1199_at,39155_at,553_g_at,36681_at,41106_at,38080_at,1180_g_at,41171_at,32749_s_at
0,20.0,20.0,20.0,20.0,559.9,423.1,20.0,20.0,20.0,20.0,320.2,20.0,20.0,22.1,20.0,283.4,20.0,20.0,132.3,52.4,204.0,214.8,4143.2,37.3,68.7,31.9,258.2,70.1,1450.6,20.0,679.9,165.1,20.0,20.0,254.3,20.0,20.0,2356.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1,20.0,20.0,39.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,36.1,174.0,31.9,20.0,20.0,127.2,22.0,20.0,169.2,3929.4,31.4,60.6,147.0,20.0,45.8,679.0,20.0,309.6,20.0,20.0,20.0,20.0,20.0,20.0,2432.1,20.0,20.0,20.0,147.9,20.0,20.0,20.0,20.0,20.0
2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.7,161.7,21.8,20.0,20.0,87.2,24.2,20.0,135.5,4103.6,56.5,58.2,50.4,23.1,20.0,31.0,20.0,20.0,195.4,20.0,20.0,20.0,20.0,20.0,2460.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,32.8,20.0,39.8,20.0,1757.0,159.5,37.3,20.0,101.0,3346.8,49.6,48.6,606.3,20.0,47.9,213.0,20.0,85.5,76.2,20.0,20.0,20.0,20.0,20.0,2241.2,20.0,20.0,20.0,83.4,25.5,20.0,20.0,20.0,20.0
4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,111.5,236.9,604.4,129.5,32.1,20.0,172.5,20.0,94.9,40.8,2232.7,20.0,36.5,95.6,20.0,198.3,185.8,20.0,334.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,27.4,20.0,20.0,20.0,739.2
5,20.0,20.0,20.0,349.8,20.0,1035.8,20.0,20.0,20.0,20.0,20.0,20.0,724.0,24.3,20.0,155.4,20.0,20.0,227.2,37.9,20.0,89.4,3427.4,174.0,95.1,247.7,20.0,28.6,180.3,20.0,49.1,94.1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,306.3,20.0
6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.8,20.0,25.4,20.0,41.3,20.0,20.0,107.0,55.9,282.1,20.0,20.0,69.3,57.4,181.5,20.0,20.0,392.7,20.0,257.1,20.0,20.0,20.0,20.0,20.9,20.0,20.0,20.0,20.0,20.0,42.8,20.0,20.0,20.0,174.1,20.0
7,276.5,20.0,43.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.1,389.7,55.8,20.0,185.4,105.7,51.4,20.0,104.7,20.0,392.4,112.9,626.8,24.4,58.7,235.0,1168.5,292.6,20.0,20.0,314.1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
8,20.0,20.0,52.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,52.3,193.0,23.4,20.0,966.4,194.9,45.7,20.0,89.8,20.0,57.6,85.7,1590.7,20.0,20.0,134.9,20.0,133.8,65.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.7,20.0,20.0,20.0,20.0,20.0
9,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,39.1,20.0,22.8,20.0,64.5,20.0,20.0,100.2,20.8,20.0,152.6,20.0,167.8,20.0,20.0,30.0,20.0,20.0,20.0,22.0,20.0,25.4,20.0,20.0,38.4,20.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
10,20.0,20.0,26.1,20.0,20.0,20.0,20.0,151.7,20.0,20.0,20.0,20.0,1394.7,92.0,20.0,69.7,20.0,20.0,151.2,52.4,20.0,98.7,20.0,104.9,140.7,20.0,20.6,20.0,20.0,1349.2,20.0,73.4,20.0,20.0,20.0,20.0,20.0,2445.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
11,20.0,20.0,20.0,20.0,20.0,20.0,20.0,136.4,20.0,20.0,20.0,27.8,20.0,42.5,20.0,26.0,20.0,347.7,112.6,29.6,20.0,124.5,20.0,90.2,20.0,1910.2,20.0,45.1,20.0,20.0,63.5,20.0,39.7,20.0,20.0,20.0,48.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
12,20.0,20.0,23.3,20.0,20.0,20.0,20.0,403.1,20.0,640.8,359.1,20.0,20.0,20.0,20.0,20.0,20.0,197.2,202.6,20.0,20.0,93.1,20.0,152.4,20.0,132.3,20.0,20.3,338.9,20.0,230.1,114.8,55.4,20.0,20.0,20.0,44.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
13,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,34.3,20.0,57.3,20.0,20.0,131.8,729.2,151.5,20.0,20.0,76.2,20.0,105.0,20.0,3190.3,20.0,20.0,20.0,20.0,31.1,20.0,20.0,20.0,20.0,79.1,20.0,20.0,20.0,20.0,20.0,20.0,98.5,20.0,20.0,20.0,20.0
14,20.0,20.0,85.3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,42.9,20.0,20.0,288.4,72.4,20.0,20.0,194.7,47.2,20.0,101.0,20.0,104.6,20.0,20.0,35.6,57.5,125.6,20.0,287.1,20.0,20.0,280.1,20.0,75.2,36.7,20.0,20.0,20.0,20.0,20.0,34.0,20.0,20.0,314.9,20.0
15,20.0,201.1,100.4,267.5,264.1,20.0,414.1,108.3,164.5,419.9,82.4,83.4,781.3,20.0,351.7,50.0,231.6,198.8,92.1,83.8,268.9,20.0,4613.3,269.4,130.6,2266.1,20.0,101.3,33.0,627.5,45.0,144.3,20.0,20.0,275.2,20.0,20.0,20.0,20.0,20.0,20.0,25.3,94.2,20.0,20.0,362.0,20.0
16,20.0,220.1,20.0,360.0,427.5,1208.7,565.6,58.5,223.7,392.6,196.0,20.0,1448.8,115.8,398.4,38.3,199.1,20.0,379.4,58.9,91.3,336.3,4833.3,323.3,88.2,20.0,675.7,205.2,1445.5,647.5,601.3,166.7,74.4,20.0,91.2,22.7,20.0,20.0,20.0,20.0,301.9,20.0,20.0,20.0,20.0,20.0,20.0
17,464.8,597.3,20.0,388.7,20.0,835.4,1000.0,73.6,20.0,610.5,304.6,80.0,979.1,242.6,501.0,202.9,20.0,2594.7,287.3,73.8,293.8,299.7,3940.8,557.0,127.1,20.0,518.7,132.8,1389.5,1045.9,921.7,139.8,34.9,20.0,20.0,20.0,35.6,20.0,20.0,20.0,20.0,79.6,72.4,20.0,20.0,20.0,20.0
18,482.7,20.0,20.0,136.9,20.0,1206.2,882.9,42.9,20.0,574.0,161.5,72.6,1126.3,234.8,489.0,235.3,20.0,1490.7,402.0,74.5,332.8,20.0,4090.2,697.3,68.9,5433.7,658.5,202.6,2341.5,980.8,1300.3,128.5,50.4,20.0,203.8,20.0,81.1,20.0,20.0,20.0,20.0,52.0,32.7,20.0,20.0,20.0,20.0
19,20.0,20.0,20.0,20.0,20.0,20.0,20.0,73.4,20.0,20.0,169.3,23.0,1096.9,88.8,307.9,174.4,185.8,3890.2,777.2,126.5,147.5,199.1,4449.4,247.8,102.4,20.0,536.1,358.8,1999.4,1019.8,894.5,167.5,20.0,20.0,134.2,22.2,88.3,20.0,20.0,20.0,20.0,20.0,117.2,20.0,20.0,20.0,20.0
20,431.8,498.3,452.5,20.0,20.0,1111.4,899.1,132.3,20.0,596.0,20.0,20.0,1255.4,119.4,328.3,400.5,133.1,20.0,212.2,74.6,211.6,264.9,3099.4,258.6,119.0,4665.1,417.7,105.3,1404.2,1260.6,750.1,85.5,87.0,20.0,229.8,20.0,219.2,2078.8,20.0,20.0,20.0,20.0,25.1,20.0,20.0,20.0,947.2
21,385.1,20.0,20.0,152.0,20.0,20.0,933.3,115.6,20.0,20.0,331.2,22.9,20.0,147.1,207.8,384.7,134.4,20.0,283.0,49.8,258.3,308.4,4820.4,232.6,141.6,4458.5,527.0,37.8,1676.2,20.0,1011.9,143.5,88.7,20.0,320.0,20.0,348.0,2262.0,20.0,20.0,20.0,20.0,55.5,20.0,20.0,20.0,574.3
22,20.0,572.6,110.2,20.0,20.0,726.4,681.0,96.5,247.4,528.4,154.6,54.1,1183.7,20.0,521.8,75.7,20.0,4394.8,219.2,131.0,231.7,215.0,3650.5,179.2,131.5,5840.3,395.6,172.3,1389.9,799.3,704.7,80.1,71.7,20.0,272.5,20.0,20.0,2212.3,20.0,20.0,20.0,49.4,148.7,20.0,20.0,20.0,20.0
23,395.3,20.0,109.4,201.5,20.0,1221.3,811.5,69.3,20.0,654.2,296.5,49.1,657.0,91.4,344.3,156.7,217.3,20.0,258.7,38.2,20.0,130.0,2577.4,125.1,125.4,20.0,345.0,189.2,753.2,1005.7,514.8,134.0,24.5,20.0,208.6,20.0,20.0,2220.9,20.0,20.0,20.0,20.0,27.5,20.0,20.0,20.0,20.0
24,20.0,20.0,167.8,394.1,20.0,462.2,20.0,78.8,20.0,20.0,338.2,62.2,1010.7,57.3,321.4,20.0,20.0,2424.2,927.5,206.7,295.3,165.0,4062.8,361.4,108.7,20.0,282.0,338.6,1763.2,20.0,1005.1,20.0,66.8,20.0,130.9,21.2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
