,1385_at,31622_f_at,32821_at,33328_at,33919_at,34375_at,34407_at,35766_at,36130_f_at,37032_at,37157_at,38637_at,38722_at,39081_at,39182_at,39409_at,39594_f_at,39640_at,40087_at,40103_at,40445_at,40567_at,40767_at,40848_g_at,41139_at,41165_g_at,41176_at,41177_at,41209_at,41402_at,41423_at,41424_at,41454_at,41504_s_at,41745_at,41771_g_at,41772_at,41792_at,41827_f_at,575_s_at,657_at,677_s_at,700_s_at,715_s_at,767_at,870_f_at,927_s_at,973_at,988_at,632_at,179_at
0,20.0,20.0,20.0,20.0,20.0,72.1,559.9,423.1,20.0,625.7,20.0,20.0,20.0,20.0,20.0,350.6,20.0,320.2,20.0,20.0,22.1,20.0,283.4,20.0,257.4,20.0,132.3,232.5,52.4,20.0,204.0,24.0,214.8,20.0,4143.2,37.3,20.0,68.7,31.9,258.2,20.0,70.1,1450.6,39.8,23.1,20.0,679.9,165.1,20.0,20.0,254.3
1,20.0,20.0,39.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,36.1,174.0,31.9,20.0,20.0,20.0,127.2,257.1,22.0,20.0,20.0,20.0,169.2,20.0,3929.4,31.4,20.0,60.6,147.0,20.0,20.0,45.8,679.0,70.2,20.0,20.0,309.6,20.0,20.0,20.0,20.0
2,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,28.7,161.7,21.8,20.0,482.2,20.0,87.2,187.4,24.2,20.0,20.0,20.0,135.5,20.0,4103.6,56.5,20.0,58.2,50.4,23.1,20.0,20.0,31.0,76.8,20.0,20.0,20.0,195.4,20.0,20.0,20.0
3,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,185.9,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,32.8,20.0,39.8,20.0,20.0,1757.0,159.5,310.6,37.3,20.0,20.0,20.0,101.0,20.0,3346.8,49.6,20.0,48.6,606.3,20.0,20.0,47.9,213.0,52.8,24.4,20.0,85.5,76.2,20.0,20.0,20.0
4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,111.5,236.9,20.0,604.4,129.5,295.5,32.1,20.0,20.0,20.0,172.5,20.0,20.0,94.9,27.4,40.8,2232.7,20.0,210.8,36.5,95.6,34.0,20.0,20.0,198.3,185.8,20.0,334.8,20.0
5,20.0,20.0,20.0,20.0,349.8,20.0,20.0,1035.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,724.0,24.3,20.0,155.4,20.0,20.0,20.0,227.2,409.0,37.9,20.0,20.0,20.0,89.4,20.0,3427.4,174.0,47.4,95.1,247.7,20.0,20.0,28.6,180.3,89.7,24.5,20.0,49.1,94.1,20.0,20.0,20.0
6,20.0,20.0,20.0,20.0,20.0,59.6,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,24.8,20.0,25.4,20.0,41.3,20.0,446.9,20.0,107.0,150.3,55.9,20.0,282.1,59.5,20.0,416.0,20.0,69.3,22.5,57.4,181.5,20.0,20.0,20.0,392.7,47.1,38.7,20.0,257.1,20.0,20.0,20.0,20.0
7,276.5,20.0,43.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,537.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,22.1,389.7,55.8,20.0,20.0,185.4,105.7,213.8,51.4,28.8,20.0,20.0,104.7,20.0,20.0,392.4,134.5,112.9,626.8,24.4,511.4,58.7,235.0,93.6,20.0,1168.5,292.6,20.0,20.0,314.1,20.0
8,20.0,20.0,52.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,573.7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,52.3,193.0,23.4,20.0,20.0,966.4,194.9,234.3,45.7,38.0,20.0,20.0,89.8,20.0,20.0,57.6,20.0,85.7,1590.7,20.0,20.0,20.0,134.9,110.8,20.0,20.0,133.8,65.3,20.0,20.0,20.0
9,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,191.2,20.0,20.0,20.0,39.1,20.0,22.8,20.0,64.5,20.0,20.0,20.0,100.2,199.2,20.8,47.9,20.0,20.0,152.6,300.4,20.0,167.8,42.5,20.0,20.0,30.0,20.0,20.0,20.0,90.8,20.0,20.0,22.0,20.0,25.4,20.0,20.0
